,Absorbance Spectrum,Absorbance Spectrum,,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum,Absorbance Spectrum
Wavenumber cm-1,,,,,,,,,,,,,
,Lumilog_GaN_substrate 20degC,Lumilog_GaN_substrate_80degC,LUMILOG_GaN_substrate_-160degC,B120504_InGaN_20degC,B120504_InGaN_80degC,B120504_InGaN_20degC_Vak,B120504_InGaN_-160degC_Vak,J130828_10nm_M16_InGaN_20degC_Vak,J130828_10nm_M16_InGaN_-160degC_Vak,J130828_10nm_M16_InGaN_90degC,J140228_3nm_InGaN_20degC,J140228_3nm_InGaN_90degC,J140228_3nm_InGaN_-160degC
7999.369719,0.547561765,0.571887672,1.29706955,0.402963907,0.432407171,0.487248987,0.596060693,0.740080059,0.736118376,0.730044901,0.893197894,0.892431438,0.976756215
7998.887538,0.532992065,0.607788861,1.280488133,0.405738801,0.450454026,0.480027795,0.587180853,0.739195347,0.72747767,0.720512331,0.895777643,0.890804529,0.975315094
7998.405358,0.537346542,0.603172362,1.279067874,0.404792964,0.453003556,0.478612959,0.576010227,0.739169896,0.738168418,0.713320076,0.901024282,0.89090836,0.994648039
7997.923178,0.519623697,0.606189787,1.306551814,0.399068058,0.448781371,0.485880613,0.582415104,0.746228695,0.756795526,0.711398005,0.917657495,0.885728896,1.009054065
7997.440998,0.518456638,0.579767883,1.347305775,0.395647854,0.420918763,0.504854083,0.587011397,0.756047547,0.765196323,0.715125799,0.9320485,0.880041122,0.999092877
7996.958818,0.531571209,0.552490771,1.365745664,0.396803886,0.397552997,0.52002883,0.566162765,0.757676244,0.758574843,0.720744133,0.927305818,0.882486582,0.97956109
7996.476637,0.535350323,0.539473534,1.339450479,0.393221647,0.391699821,0.501402676,0.545809209,0.750225902,0.745810032,0.725309551,0.911474705,0.895620406,0.968601227
7995.994457,0.52646786,0.526333153,1.295796037,0.380245894,0.394745201,0.461638004,0.547955573,0.739526451,0.737745225,0.727604926,0.904338598,0.912736535,0.964511037
7995.512277,0.52553314,0.518378735,1.273353815,0.379201531,0.413468659,0.451505452,0.557874858,0.733159781,0.741577566,0.724021494,0.903428912,0.920387626,0.960061193
7995.030097,0.536786258,0.540048659,1.2823838,0.401329249,0.444033653,0.481559813,0.559846401,0.735066712,0.754176915,0.715283096,0.896002233,0.911951005,0.954981983
7994.547917,0.551400661,0.571480095,1.310314536,0.424491912,0.458995968,0.512370169,0.556388855,0.738515258,0.763576746,0.713761985,0.885852516,0.896889865,0.949050784
7994.065736,0.568542778,0.568925977,1.318883657,0.433927745,0.453663081,0.52368468,0.557109654,0.737193584,0.763250351,0.722869873,0.881346643,0.888056993,0.944334388
7993.583556,0.57883507,0.549059749,1.288118839,0.437556267,0.450943828,0.523356259,0.569558442,0.737034917,0.758227527,0.726552248,0.883503437,0.890061617,0.948711097
7993.101376,0.568894029,0.545102894,1.252046824,0.436706126,0.448735416,0.512238681,0.583455622,0.743652821,0.755697727,0.719672918,0.887915373,0.899744332,0.962816596
7992.619196,0.547273755,0.548228621,1.23156023,0.425860167,0.433996707,0.496513039,0.587049246,0.751476288,0.756885171,0.719368458,0.891136229,0.909467041,0.980358303
7992.137016,0.525106847,0.547729015,1.227306724,0.411316037,0.42290771,0.486359447,0.586335063,0.752078891,0.758402407,0.72791034,0.896460831,0.914002597,0.993676722
