Wavelength,OD,OD,OD,OD,OD,OD,OD,OD,OD,OD
nm,result_Lumilog_STINS_GaN_on_Sapphire,result_InN_InSaN_10nm_barrier_J130828_1_Messy_16,result_InN_InSaN_3nm_barrier_J140228_Messy_12,result_InN_InGaN_10nm_barrier_Sapphire_edge_J130828,result_InN_InGaN_3nm_barrier_Sapphire_edge_J140228,result_B120504_InGaN_T=1.04um,result_B111205_InN_center,result_B111205_InN(1.4um)_STINS_edge,result_B111205_InN(1.4um)_STINS_center,result_B111205_InN(1.4um)_Sapphire_edge
889.319,0.334941014,nan,3.346846348,nan,2.709956959,2.675666697,2.752971156,nan,2.758557452,2.626545802
891.409,0.329752486,nan,nan,nan,2.782620041,2.705315582,2.495902693,nan,4.06613793,2.467668518
893.498,0.330788154,nan,nan,nan,nan,nan,nan,nan,nan,nan
895.587,0.345174434,nan,nan,nan,nan,nan,2.86193255,nan,nan,nan
897.675,0.351345601,nan,4.029730006,nan,nan,nan,nan,nan,nan,nan
899.763,0.35723504,nan,nan,nan,2.798667414,nan,2.554841633,nan,4.127685253,nan
901.85,0.359089162,nan,3.432503657,nan,nan,nan,nan,nan,nan,nan
903.937,0.353604691,nan,nan,3.084630876,nan,nan,3.640512424,2.921933196,nan,nan
906.023,0.355932837,nan,nan,nan,nan,nan,nan,nan,nan,nan
908.109,0.347688876,nan,nan,3.111112379,4.085236017,nan,nan,nan,nan,nan
910.194,0.348938464,nan,nan,nan,nan,nan,nan,nan,nan,nan
912.278,0.336088963,2.787875399,nan,3.227208093,nan,nan,nan,nan,nan,nan
914.362,0.33482915,nan,2.447444694,nan,4.116447101,2.507174461,nan,nan,nan,3.017464079
916.445,0.32340573,nan,2.707878077,nan,2.172060569,2.063827526,2.307743566,nan,2.340033938,2.216085556
918.528,0.320082274,nan,2.376856336,2.490435992,2.258297932,2.093663206,2.545326381,3.311437558,2.379975935,2.353295616
920.61,0.310487236,2.053311407,nan,2.052613772,2.159728225,2.221679019,2.40934209,2.50029991,2.410727293,2.50658955
922.692,0.308572652,2.269386225,nan,2.259402004,nan,nan,nan,2.506864682,nan,nan
924.773,0.307957569,2.268864558,nan,2.267840565,nan,nan,nan,2.850051527,nan,nan
926.853,0.312518053,nan,3.536299284,nan,nan,nan,nan,3.4027192,nan,nan
928.933,0.319843767,nan,2.514848448,nan,nan,3.551667668,nan,nan,nan,nan
931.013,0.320745066,nan,2.480630927,nan,3.219591021,2.373371276,2.601713872,nan,2.811682329,3.205466378
933.091,0.329511818,nan,nan,2.852474242,2.443331679,2.355677593,2.452374168,3.794891989,2.51214013,2.551856515
935.17,0.331518776,2.529147359,nan,2.483679309,3.38361193,nan,nan,2.871319115,nan,nan
